AREA_NAME,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023
South Eglinton-Davisville,70,82,121,128,101,8,15,15,10,21,42,94,34,18,37,83,70,44,26,43,1,1,1,0,1,5,16,11,16,3,1,1,0,1,2,24,43,22,43,40,3,5,6,3,8
North Toronto,77,72,104,130,105,4,11,14,10,18,22,50,22,10,22,36,88,49,46,31,1,1,0,0,1,19,3,10,11,14,0,0,1,1,2,18,24,17,23,41,4,6,2,4,7
Dovercourt Village,96,75,101,95,104,12,18,8,25,28,26,28,26,20,38,83,47,19,33,46,2,1,0,0,1,14,15,22,10,21,0,0,2,0,1,67,67,18,28,24,3,3,2,4,3
Junction-Wallace Emerson,182,169,178,139,229,23,44,35,47,34,70,54,36,36,55,103,110,76,56,82,1,0,0,0,1,30,22,11,20,18,2,5,3,3,2,125,139,52,61,57,4,9,8,8,9
Yonge-Bay Corridor,660,383,323,443,543,38,14,17,29,46,219,173,169,230,228,119,149,112,123,108,2,0,1,1,1,63,55,51,55,62,4,2,0,1,2,171,135,64,107,76,63,35,26,51,51
Bay-Cloverhill,164,101,147,120,142,13,9,22,14,17,70,59,58,68,56,82,79,38,43,61,1,0,0,0,1,36,19,23,19,20,0,0,0,1,1,33,35,20,26,40,10,7,10,9,13
Bendale-Glen Andrew,204,134,129,166,237,35,46,76,83,144,3,1,4,6,10,30,20,19,24,29,1,1,0,2,1,35,19,49,54,55,3,7,5,7,1,50,44,41,69,76,8,4,7,13,20
Downsview,143,128,134,153,208,69,52,61,127,95,8,5,6,6,8,37,45,28,32,74,2,2,0,0,1,20,7,11,25,28,7,3,0,4,3,72,76,55,64,70,7,10,5,15,17
Oakdale-Beverley Heights,295,235,293,310,447,93,103,115,107,161,8,11,9,14,12,80,44,63,50,89,1,0,0,2,1,41,50,29,39,30,3,5,9,7,6,119,158,113,106,73,7,14,18,19,23
Avondale,46,43,56,37,50,15,33,34,19,25,13,37,20,29,9,13,13,17,8,19,0,1,0,1,1,5,9,8,4,6,0,1,0,0,1,22,36,27,40,64,4,3,5,9,5
